"2017-07-06 18:33:29 [main] INFO  com.dashboard.DashboardApplication - Starting DashboardApplication on DLUSCHO2075154 with PID 15224 (started by scho20 in D:\workspaces\workspace 4.0\dashboard)
""2017-07-06 18:33:29 [main] DEBUG com.dashboard.DashboardApplication - Running with Spring Boot v1.5.4.RELEASE, Spring v4.3.9.RELEASE
""2017-07-06 18:33:29 [main] INFO  com.dashboard.DashboardApplication - No active profile set, falling back to default profiles: default
""2017-07-06 18:33:29 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1cbb87f3: startup date [Thu Jul 06 18:33:29 IST 2017]; root of context hierarchy
""2017-07-06 18:33:31 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-07-06 18:33:31 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-07-06 18:33:31 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.15
""2017-07-06 18:33:31 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-07-06 18:33:31 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2044 ms
""2017-07-06 18:33:32 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-07-06 18:33:32 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-07-06 18:33:32 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-07-06 18:33:32 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-07-06 18:33:32 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-07-06 18:33:32 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1cbb87f3: startup date [Thu Jul 06 18:33:29 IST 2017]; root of context hierarchy
""2017-07-06 18:33:32 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/]}" onto private java.lang.String com.dashboard.controller.HomeController.home()
""2017-07-06 18:33:32 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2017-07-06 18:33:32 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2017-07-06 18:33:32 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
